epoch;loss;lr;mae;mse;val_loss;val_mae;val_mse
0;103.39202880859375;0.001;103.39199829101562;16774.10546875;102.05284881591797;102.05284881591797;16421.849609375
1;101.03948211669922;0.001;101.03950500488281;16315.3857421875;100.671630859375;100.67164611816406;16155.76171875
2;100.00021362304688;0.001;100.00013732910156;16040.3701171875;99.50513458251953;99.50514221191406;15855.6484375
3;98.83615112304688;0.001;98.83609008789062;15726.8037109375;98.27044677734375;98.27045440673828;15530.39453125
4;97.65252685546875;0.001;97.65254974365234;15393.7158203125;97.23041534423828;97.23043823242188;15191.7626953125
5;96.41970825195312;0.001;96.4197769165039;15047.62890625;95.8967056274414;95.89668273925781;14841.5263671875
6;95.08667755126953;0.001;95.08674621582031;14691.6201171875;94.37371826171875;94.37371826171875;14482.099609375
7;93.63650512695312;0.001;93.63653564453125;14331.650390625;92.96356201171875;92.96358489990234;14124.5908203125
8;92.0934066772461;0.001;92.09347534179688;13980.2109375;91.33612060546875;91.33612060546875;13781.9892578125
9;90.61000061035156;0.001;90.60991668701172;13654.916015625;89.9112319946289;89.9112319946289;13473.294921875
10;89.33565521240234;0.001;89.33563232421875;13368.068359375;88.76912689208984;88.76913452148438;13209.22265625
11;88.24088287353516;0.001;88.24090576171875;13115.2724609375;87.71002197265625;87.71002197265625;12968.6396484375
12;87.17353820800781;0.001;87.17346954345703;12883.9892578125;86.64974975585938;86.64971923828125;12745.080078125
13;86.0279541015625;0.001;86.02801513671875;12667.69140625;85.41694641113281;85.41693878173828;12538.9716796875
14;84.76517486572266;0.001;84.76514434814453;12472.572265625;84.10637664794922;84.10639190673828;12360.3603515625
0;102.347412109375;0.001;102.34745788574219;16575.802734375;97.89988708496094;97.89989471435547;15862.2060546875
1;96.7227783203125;0.001;96.72286987304688;15716.818359375;99.1644287109375;99.16441345214844;15965.103515625
2;95.85945129394531;0.001;95.8594970703125;15579.6826171875;96.88311767578125;96.88312530517578;15635.435546875
3;95.44310760498047;0.001;95.44306945800781;15477.857421875;95.76785278320312;95.7678451538086;15498.8623046875
4;95.0541763305664;0.001;95.0541000366211;15377.2041015625;95.33976745605469;95.33975982666016;15395.32421875
5;94.6657485961914;0.001;94.66566467285156;15276.2119140625;95.11628723144531;95.11630249023438;15296.8173828125
6;94.28166961669922;0.001;94.28169250488281;15175.2333984375;94.7129898071289;94.71302032470703;15202.2412109375
7;93.90184783935547;0.001;93.90180206298828;15076.2548828125;94.30450439453125;94.30448150634766;15095.5185546875
8;93.52197265625;0.001;93.52200317382812;14976.0498046875;93.93474578857422;93.93473052978516;15000.6875
9;93.14385223388672;0.001;93.14384460449219;14877.9189453125;93.61507415771484;93.61502838134766;14902.25
10;92.77079010009766;0.001;92.77082824707031;14779.8154296875;93.16513061523438;93.1651382446289;14802.71875
11;92.39759826660156;0.001;92.39769744873047;14682.37109375;92.76627349853516;92.76626586914062;14701.8876953125
